attributes                      null                            max                             min                             
MEMBER_NO                       0                               62988                           1                               
FFP_DATE                        0                               -1                              1e+007                          
FIRST_FLIGHT_DATE               0                               -1                              1e+007                          
GENDER                          3                               -1                              1e+007                          
FFP_TIER                        0                               6                               4                               
WORK_CITY                       2268                            1.37205e+010                    0                               
WORK_PROVINCE                   3244                            9.60812e+007                    0                               
WORK_COUNTRY                    25                              -1                              1e+007                          
AGE                             420                             110                             6                               
LOAD_TIME                       0                               -1                              1e+007                          
FLIGHT_COUNT                    0                               213                             2                               
BP_SUM                          0                               505308                          0                               
EP_SUM_YR_1                     0                               0                               0                               
EP_SUM_YR_2                     0                               74460                           0                               
SUM_YR_1                        551                             239560                          0                               
SUM_YR_2                        138                             234188                          0                               
SEG_KM_SUM                      0                               580717                          368                             
WEIGHTED_SEG_KM                 0                               558440                          0                               
LAST_FLIGHT_DATE                0                               -1                              1e+007                          
AVG_FLIGHT_COUNT                0                               26.625                          0.25                            
AVG_BP_SUM                      0                               63163.5                         0                               
BEGIN_TO_FIRST                  0                               729                             0                               
LAST_TO_END                     0                               731                             1                               
AVG_INTERVAL                    0                               728                             0                               
MAX_INTERVAL                    0                               728                             0                               
ADD_POINTS_SUM_YR_1             0                               600000                          0                               
ADD_POINTS_SUM_YR_2             0                               728282                          0                               
EXCHANGE_COUNT                  0                               46                              0                               
avg_discount                    0                               1.5                             0                               
P1Y_Flight_Count                0                               118                             0                               
L1Y_Flight_Count                0                               111                             0                               
P1Y_BP_SUM                      0                               246197                          0                               
L1Y_BP_SUM                      0                               259111                          0                               
EP_SUM                          0                               74460                           0                               
ADD_Point_SUM                   0                               984938                          0                               
Eli_Add_Point_Sum               0                               984938                          0                               
L1Y_ELi_Add_Points              0                               728282                          0                               
Points_Sum                      0                               985572                          0                               
L1Y_Points_Sum                  0                               728282                          0                               
Ration_L1Y_Flight_Count         0                               1                               0                               
Ration_P1Y_Flight_Count         0                               1                               0                               
Ration_P1Y_BPS                  0                               0.999989                        0                               
Ration_L1Y_BPS                  0                               0.999993                        0                               
Point_NotFlight                 0                               140                             0                               
62988 lines
error lines(attributes != 44):	12610	21281	34371	44868	62989
